Time(s)	TrafficType	Size(Bytes)
2.7889	ftp	536	
2.79362	ftp	536	
2.79444	video	49	
2.79916	ftp	536	
2.80388	ftp	536	
2.8049	video	73	
2.80571	video	47	
2.80659	video	56	
2.81131	ftp	536	
2.81603	ftp	536	
2.81735	video	111	
2.81888	gaming	137	
2.81964	video	42	
2.82436	ftp	536	
2.82908	ftp	536	
2.8338	ftp	536	
2.83852	ftp	536	
2.84324	ftp	536	
2.84796	ftp	536	
2.85268	ftp	536	
2.8574	ftp	536	
2.8586	gaming	96	
2.86332	ftp	536	
2.86804	ftp	536	
2.8686	voip	15	
2.87332	ftp	536	
2.87804	ftp	536	
2.88276	ftp	536	
2.88748	ftp	536	
2.8922	ftp	536	
2.89692	ftp	536	
2.90164	ftp	536	
2.90337	gaming	163	
2.90809	ftp	536	
2.91281	ftp	536	
2.91413	video	111	
2.91488	video	40	
2.9196	ftp	536	
2.92432	ftp	536	
2.92628	video	191	
2.92811	video	174	
2.93283	ftp	536	
2.93755	ftp	536	
2.93849	video	64	
2.94321	ftp	536	
2.94793	ftp	536	
2.9488	video	54	
2.95352	ftp	536	
2.95824	ftp	536	
2.95936	video	86	
2.96037	video	73	
2.96509	ftp	536	
2.96981	ftp	536	
2.97112	gaming	110	
2.97195	video	49	
2.97311	video	91	
2.97783	ftp	536	
2.98255	ftp	536	
2.98423	video	156	
2.98895	ftp	536	
2.99367	ftp	536	
2.99478	video	85	
2.99555	video	42	
2.99708	video	138	
3.0018	ftp	536	
3.00652	ftp	536	
3.00772	video	95	
3.00893	video	98	
3.00973	video	46	
3.01445	ftp	536	
3.01917	ftp	536	
3.02389	ftp	536	
3.02469	video	46	
3.02592	video	99	
3.03064	ftp	536	
3.03536	ftp	536	
3.0368	video	126	
3.04152	ftp	536	
3.04624	ftp	536	
3.04679	voip	15	
3.04797	gaming	94	
3.05269	ftp	536	
3.05741	ftp	536	
3.06213	ftp	536	
3.06685	ftp	536	
3.07157	ftp	536	
3.07629	ftp	536	
3.08101	ftp	536	
3.08573	ftp	536	
3.09045	ftp	536	
3.09517	ftp	536	
3.09665	gaming	131	
3.10137	ftp	536	
3.10609	ftp	536	
3.11081	ftp	536	
3.11553	ftp	536	
3.1163	video	42	
3.11707	video	42	
3.12179	ftp	536	
3.12651	ftp	536	
3.13123	ftp	536	
3.13208	video	52	
3.13332	video	102	
3.13804	ftp	536	
3.14276	ftp	536	
3.14352	video	40	
3.14824	ftp	536	
3.15296	ftp	536	
3.15373	video	43	
3.15516	video	125	
3.15988	ftp	536	
3.1646	ftp	536	
3.16559	video	69	
3.16802	video	250	
3.17274	ftp	536	
3.17746	ftp	536	
3.17989	video	250	
3.18232	video	250	
3.18322	video	58	
3.18794	ftp	536	
3.19266	ftp	536	
3.19402	video	116	
3.19581	gaming	170	
3.20053	ftp	536	
3.20525	ftp	536	
3.20691	video	153	
3.20934	video	250	
3.21038	video	76	
3.2151	ftp	536	
3.21982	ftp	536	
3.22037	voip	15	
3.22137	video	71	
3.2234	video	200	
3.22812	ftp	536	
3.23284	ftp	536	
3.23415	video	109	
3.23493	video	44	
3.23965	ftp	536	
3.24437	ftp	536	
3.24909	ftp	536	
3.25381	ftp	536	
3.25853	ftp	536	
3.26325	ftp	536	
3.26797	ftp	536	
3.26947	gaming	133	
3.27419	ftp	536	
3.27891	ftp	536	
3.28363	ftp	536	
3.28835	ftp	536	
3.29307	ftp	536	
3.29779	ftp	536	
3.30251	ftp	536	
3.30723	ftp	536	
3.3089	gaming	155	
3.31362	ftp	536	
3.31834	ftp	536	
3.32306	ftp	536	
3.32778	ftp	536	
3.33021	video	250	
3.33493	ftp	536	
3.33965	ftp	536	
3.34064	video	70	
3.34536	ftp	536	
3.35008	ftp	536	
3.35116	video	81	
3.35219	video	74	
3.35324	video	77	
3.35796	ftp	536	
3.36268	ftp	536	
3.3674	ftp	536	
3.37212	ftp	536	
3.37684	ftp	536	
3.37923	video	245	
3.37978	voip	15	
3.38078	video	71	
3.3855	ftp	536	
3.39022	ftp	536	
3.39195	gaming	162	
3.3927	video	40	
3.39348	video	44	
3.3982	ftp	536	
3.40292	ftp	536	
3.40764	ftp	536	
3.41236	ftp	536	
3.4132	video	51	
3.41423	video	74	
3.41895	ftp	536	
3.42367	ftp	536	
3.42525	video	144	
3.42768	video	250	
3.4324	ftp	536	
3.43712	ftp	536	
3.4382	video	80	
3.44292	ftp	536	
3.44764	ftp	536	
3.44856	video	62	
3.44983	gaming	104	
3.45226	video	250	
3.45698	ftp	536	
3.4617	ftp	536	
3.46262	video	61	
3.46448	video	179	
3.4692	ftp	536	
3.47392	ftp	536	
3.47468	video	40	
3.47545	video	43	
3.48017	ftp	536	
3.48489	ftp	536	
3.48961	ftp	536	
3.49433	ftp	536	
3.49905	ftp	536	
3.50024	gaming	94	
3.50496	ftp	536	
3.50968	ftp	536	
3.5144	ftp	536	
3.51912	ftp	536	
3.52384	ftp	536	
3.52856	ftp	536	
3.53328	ftp	536	
3.538	ftp	536	
3.53855	voip	15	
3.53968	gaming	87	
3.5444	ftp	536	
3.54912	ftp	536	
3.55384	ftp	536	
3.55856	ftp	536	
3.56064	video	207	
3.56536	ftp	536	
